,City,Country,Lat,Lng,Hotel Name
383,jardim,BR,-21.48,-56.14,Vitória Hotel
384,bandarbeyla,SO,9.49,50.81,
385,port macquarie,CD,-7.03,29.76,
386,linxia,CN,35.6,103.21,Baohan Hotel
387,gamba,GA,-2.65,10.0,
388,trincomalee,LK,8.57,81.23,Alfresco Beach Hotel
389,verkhnevilyuysk,RU,63.45,120.32,Gostinitsa Mila
390,sisimiut,GL,66.94,-53.67,Hotel Sisimiut
391,south sioux city,IS,64.0,-19.0,
392,liverpool,GB,53.41,-2.98,Hard Days Night Hotel
393,churapcha,RU,62.0,132.43,
394,ust-kuyga,RU,70.02,135.6,
395,roma,US,43.21,-75.46,Wingate By Wyndham Rome
396,tignere,CM,7.37,12.65,Hotel Famanou
397,haines junction,US,59.23,-135.44,Aspen Suites Hotel Haines
398,villamontes,BO,-21.25,-63.5,Hotel El Rancho
399,santa isabel,PH,17.49,120.43,Monte Leah Beach Resort
400,boca do acre,IT,45.68,8.41,Il Gobbo
401,bubaque,GW,11.28,-15.83,Ponta Anchaca
402,kenai,US,60.55,-151.26,Kenai Airport Hotel
403,mama,RU,58.31,112.9,
404,srednekolymsk,RU,67.45,153.68,
405,akureyri,IS,65.68,-18.09,Hotel Akureyri
406,aginskoye,RU,51.1,114.53,Gostinitsa Gobi
407,kailua,US,21.4,-157.74,
408,lorengau,PG,-2.02,147.27,Seeadler Bay Hotel
409,hohhot,CN,40.81,111.65,"Shangri-La Hotel, Hohhot"
410,hualmay,PE,-11.1,-77.61,La Posada De Santa Maria
411,ayan,RU,56.45,138.17,
412,lagoa,PT,39.05,-27.98,Hotel Ilha Graciosa
413,ruidoso,US,33.33,-105.67,MCM Elegante Lodge & Resort
414,zhenhai,CN,24.26,118.09,
415,saurimo,AO,-9.66,20.39,iu Hotel Saurimo Rotunda
416,nizwa,OM,22.93,57.53,Al Diyar Hotel
417,talcahuano,CL,-36.72,-73.12,Hotel Terrasur
418,porto novo,PT,41.15,-8.61,The Yeatman Hotel
419,high level,US,33.61,-95.75,
420,tooele,US,40.53,-112.3,Holiday Inn Express & Suites Tooele
421,robore,BO,-18.33,-59.75,Hotel La Casona De Don Pepe
422,pangnirtung,CA,66.15,-65.71,Auyuittuq Lodge (Inns North)
423,kyaukse,MM,21.6,96.13,Hotel Kyaukse
424,moose factory,US,43.66,-110.72,
425,luwuk,ID,-0.95,122.79,Swiss-Belinn Hotel Luwuk
426,caborca,MX,30.58,-111.1,Motel Elba
427,viedma,AR,-40.81,-63.0,Hotel Austral Viedma
428,bayan,CN,46.08,127.4,Longfucheng Hotel
429,ziarat,PK,30.38,67.73,Ziarat Hotel Ziarat
430,sumbe,AO,-11.21,13.84,iu Hotel Sumbe
431,ust-omchug,RU,61.15,149.63,
432,bedford,GB,52.13,-0.47,Holiday Inn Express Bedford
433,panama city,PA,9.0,-80.0,
434,amapa,BR,1.0,-52.0,
435,atasu,KZ,48.68,71.64,
436,keetmanshoop,,-26.58,18.13,Quiver Inn Guesthouse
437,trapani,IT,37.83,12.67,
438,ostroleka,PL,53.09,21.58,Zajazd HUBUS
439,alekseyevsk,RU,57.84,108.35,
440,irtyshskiy,RU,58.33,68.13,
441,brownsville,US,25.9,-97.5,Hotel Colonial
442,san policarpo,ML,13.3,-4.9,Hôtel Teriya
443,durg,IN,21.18,81.28,The Roman Park - Best Wedding Destination Hotel
444,nelson bay,NZ,-41.28,173.28,Trailways Hotel
445,agdam,AZ,39.99,46.93,
446,bull savanna,LR,6.2,-10.28,
447,waipawa,NZ,-41.41,175.52,
448,panalingaan,PH,8.78,117.42,
449,kittery,US,43.09,-70.74,"Wentworth by the Sea, A Marriott Hotel & Spa"
450,senador jose porfirio,HT,18.82,-71.9,Piscine Oasis
451,mnogovershinnyy,RU,53.94,139.92,Gostinitsa
452,toora-khem,RU,52.47,96.11,
453,pabrade,LT,55.0,25.78,Pavovere 2
454,tokonou,GN,9.65,-9.78,Tokonou
455,ossora,RU,59.24,163.07,Ossora
456,pangai,TO,-19.8,-174.35,Ha'apai Beach Resort
457,baruun-urt,MN,46.68,113.28,Orgin Hotel
458,ternate,ID,0.8,127.4,Hotel Emerald
459,emborion,GR,40.48,21.55,Κτήμα Γιαννιώτη (Βλάστη Κοζάνης)
460,pasighat,IN,28.07,95.33,OYO 44691 Hotel East
461,maromitsa,RU,59.87,48.01,
462,petropavlovsk-kamchatskiy,RU,53.05,158.65,Hotel Comfort
463,huilong,CN,31.81,121.66,Hilton Garden Inn Qidong
464,banihal,IN,33.42,75.2,JKTDC
465,royan,FR,45.63,-1.03,Hôtel Miramar
466,suntar,RU,62.14,117.63,
467,mankera,PK,31.39,71.44,
468,inongo,CD,-1.95,18.27,Hotel Du Lac
469,kloulklubed,PW,7.04,134.26,The Adventures Inn-Peleliu
470,wattegama,LK,6.8,81.48,
471,xuddur,SO,4.12,43.89,Hotel Kontome 2
472,mahon,ES,39.89,4.27,Hotel Catalonia Mirador des Port
473,marzuq,YE,14.4,46.47,
474,shahrud,IR,36.42,54.98,Shahroud Tourist Hotel
475,anito,PH,12.45,125.29,The Yellow House
476,khatanga,RU,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
477,mildura,AU,-34.2,142.15,Quality Hotel Mildura Grand
478,sanary-sur-mer,FR,43.12,5.8,Hôtel Plein Large
479,kieta,PG,-6.22,155.63,
480,karaton,ID,-6.34,106.1,OYO 3173 Wisma Pkp-ri
481,basoko,CD,1.24,23.62,Flat Hotel La Benediction
482,chernyshevskiy,RU,63.01,112.47,
483,flinders,AU,-34.58,150.86,Lakeview Hotel Motel
484,skjervoy,NO,70.03,20.97,Hotel Maritim Skjervøy AS
